region_code,order_date,daily_revenue,running_total
SOUTH,2025-11-08,169685.67,36507252.07
SOUTH,2025-11-25,339960.75,36847212.82
SOUTH,2025-12-05,135807.97,36983020.78
SOUTH,2025-12-09,82252.25,37065273.04
SOUTH,2025-12-13,55470.66,37120743.70
SOUTH,2025-12-15,106818.42,37227562.11
SOUTH,2025-12-17,403903.91,37631466.03
SOUTH,2025-12-21,579005.58,38210471.61
SOUTH,2025-12-24,441276.65,38651748.26
SOUTH,2025-12-26,216806.67,38868554.93
SOUTH,2025-12-29,376139.08,39244694.01
SOUTH,2026-01-01,308476.82,39553170.82
SOUTH,2026-01-02,377444.47,39930615.29
SOUTH,2026-01-09,451214.88,40381830.17
SOUTH,2026-01-18,125509.55,40507339.72
SOUTH,2026-01-20,173961.45,40681301.17
SOUTH,2026-01-23,878127.16,41559428.33
SOUTH,2026-01-25,119519.44,41678947.77
SOUTH,2026-01-30,415871.31,42094819.08
SOUTH,2026-02-02,97871.74,42192690.82
SOUTH,2026-02-03,272132.97,42464823.79
SOUTH,2026-02-12,24624.16,42489447.95
SOUTH,2026-03-03,283426.56,42772874.51
SOUTH,2026-03-11,158850.28,42931724.79
SOUTH,2026-03-14,308761.75,43240486.54
SOUTH,2026-03-21,64165.66,43304652.20
SOUTH,2026-03-22,76185.82,43380838.02
SOUTH,2026-03-27,20746.35,43401584.37
SOUTH,2026-04-05,242021.84,43643606.21
SOUTH,2026-04-08,188053.17,43831659.38
SOUTH,2026-04-10,-141142.80,43690516.58
SOUTH,2026-04-14,95895.29,43786411.87
SOUTH,2026-04-15,182605.18,43969017.05
SOUTH,2026-04-18,126913.80,44095930.85
SOUTH,2026-04-23,317662.27,44413593.12
SOUTH,2026-04-26,159532.24,44573125.36
SOUTH,2026-05-02,604570.79,45177696.15
SOUTH,2026-05-15,148320.07,45326016.22
SOUTH,2026-05-22,44181.28,45370197.50
SOUTH,2026-05-23,66378.56,45436576.06
SOUTH,2026-05-28,104023.54,45540599.60
SOUTH,2026-06-13,253008.76,45793608.36
SOUTH,2026-06-14,330912.09,46124520.46
SOUTH,2026-06-22,29672.49,46154192.95
SOUTH,2026-06-24,340819.13,46495012.07
SOUTH,2026-06-28,248744.11,46743756.18
SOUTH,2026-06-30,112503.86,46856260.04
SOUTH,2026-07-13,250572.72,47106832.77
SOUTH,2026-07-14,37601.00,47144433.77
WEST,2024-07-21,184523.86,184523.86
WEST,2024-07-22,718261.52,902785.38
WEST,2024-07-24,149544.44,1052329.82
WEST,2024-07-29,386802.96,1439132.78
WEST,2024-07-31,493454.33,1932587.11
WEST,2024-08-04,123814.94,2056402.04
WEST,2024-08-05,323810.68,2380212.72
WEST,2024-08-09,68717.66,2448930.39
WEST,2024-08-12,290318.19,2739248.58
WEST,2024-08-13,240059.85,2979308.43
WEST,2024-08-15,263956.42,3243264.84
WEST,2024-08-17,6126.83,3249391.67
WEST,2024-08-21,189680.98,3439072.65
WEST,2024-08-24,56608.90,3495681.55
WEST,2024-08-25,-10448.27,3485233.28
WEST,2024-08-30,53710.17,3538943.45
WEST,2024-09-04,356039.82,3894983.27
WEST,2024-09-05,254449.74,4149433.01
WEST,2024-09-06,582386.92,4731819.93
WEST,2024-09-09,526158.16,5257978.10
WEST,2024-09-11,910323.40,6168301.49
WEST,2024-09-19,407280.21,6575581.70
WEST,2024-09-20,65223.74,6640805.44
WEST,2024-09-26,446203.68,7087009.13
WEST,2024-10-03,140382.48,7227391.61
WEST,2024-10-04,119963.47,7347355.07
WEST,2024-10-19,48378.61,7395733.68
WEST,2024-10-20,435268.74,7831002.42
WEST,2024-11-03,313556.48,8144558.90
WEST,2024-11-06,575381.95,8719940.86
WEST,2024-11-10,127514.94,8847455.80
WEST,2024-11-12,67864.26,8915320.05
WEST,2024-11-13,54104.88,8969424.93
WEST,2024-11-14,53926.73,9023351.67
WEST,2024-11-17,-128510.03,8894841.64
WEST,2024-11-20,-76961.10,8817880.54
WEST,2024-11-29,12339.91,8830220.45
WEST,2024-12-01,113050.47,8943270.93
WEST,2024-12-08,81054.73,9024325.66
WEST,2024-12-10,246722.94,9271048.60
WEST,2024-12-11,107953.89,9379002.49
WEST,2024-12-14,445004.06,9824006.55
WEST,2024-12-15,253438.71,10077445.25
WEST,2024-12-16,566303.56,10643748.82
WEST,2024-12-31,318922.70,10962671.51
WEST,2025-01-01,225937.09,11188608.60
WEST,2025-01-02,393128.30,11581736.90
WEST,2025-01-04,95542.74,11677279.64
WEST,2025-01-12,644274.90,12321554.55
WEST,2025-01-13,290093.03,12611647.58
WEST,2025-01-21,483597.88,13095245.46
WEST,2025-01-24,402456.71,13497702.17
WEST,2025-01-30,954778.46,14452480.63
WEST,2025-01-31,726309.56,15178790.19
WEST,2025-02-05,126436.11,15305226.30
WEST,2025-02-07,107679.26,15412905.55
WEST,2025-02-08,342123.71,15755029.26
WEST,2025-02-10,374066.78,16129096.04
WEST,2025-02-23,226884.57,16355980.61
WEST,2025-02-26,386422.83,16742403.44
WEST,2025-02-28,211207.77,16953611.21
WEST,2025-03-03,215048.11,17168659.32
WEST,2025-03-04,396082.51,17564741.83
WEST,2025-03-07,124913.67,17689655.50
WEST,2025-03-27,185746.12,17875401.62
WEST,2025-03-30,136129.76,18011531.38
WEST,2025-04-04,403012.22,18414543.60
WEST,2025-04-05,118200.80,18532744.40
WEST,2025-04-08,172977.80,18705722.20
WEST,2025-04-09,13648.88,18719371.08
WEST,2025-04-11,812452.20,19531823.28
WEST,2025-04-12,678548.31,20210371.59
WEST,2025-04-15,122874.59,20333246.18
WEST,2025-04-18,389967.95,20723214.12
WEST,2025-04-28,195474.12,20918688.24
WEST,2025-04-30,206368.88,21125057.12
WEST,2025-05-04,387703.46,21512760.58
WEST,2025-05-13,83735.14,21596495.72
WEST,2025-05-15,82725.96,21679221.68
WEST,2025-05-20,25780.52,21705002.20
WEST,2025-05-30,106730.50,21811732.71
WEST,2025-06-05,3278.60,21815011.31
WEST,2025-06-06,8192.36,21823203.67
WEST,2025-06-07,139656.07,21962859.74
WEST,2025-06-25,397357.64,22360217.37
WEST,2025-06-30,122795.64,22483013.01
WEST,2025-07-02,338769.50,22821782.51
WEST,2025-07-03,280621.82,23102404.33
WEST,2025-07-04,317667.97,23420072.30
WEST,2025-07-05,460333.79,23880406.09
WEST,2025-07-15,101814.20,23982220.29
WEST,2025-07-17,154384.32,24136604.61
WEST,2025-07-19,70145.71,24206750.32
WEST,2025-07-27,589668.18,24796418.49
WEST,2025-07-28,256632.12,25053050.61
WEST,2025-07-31,807987.94,25861038.55
WEST,2025-08-31,829117.80,26690156.35
WEST,2025-09-06,392134.85,27082291.20
WEST,2025-09-07,230175.00,27312466.20
WEST,2025-09-09,321630.47,27634096.67
WEST,2025-09-14,392442.52,28026539.19
WEST,2025-09-15,285059.75,28311598.94
WEST,2025-09-17,148890.68,28460489.62
WEST,2025-09-26,168869.10,28629358.72
WEST,2025-09-27,128487.56,28757846.28
WEST,2025-09-29,52603.14,28810449.42
WEST,2025-10-06,48041.02,28858490.44
WEST,2025-10-07,159209.11,29017699.55
WEST,2025-10-08,355446.25,29373145.80
WEST,2025-10-12,480208.81,29853354.61
WEST,2025-10-25,-44982.43,29808372.18
WEST,2025-10-27,253358.54,30061730.72
WEST,2025-11-05,166578.87,30228309.59
WEST,2025-11-09,119942.20,30348251.79
WEST,2025-11-11,489046.06,30837297.85
WEST,2025-11-13,198352.66,31035650.51
WEST,2025-11-19,313838.31,31349488.81
WEST,2025-11-22,163260.88,31512749.69
WEST,2025-12-01,401613.33,31914363.02
WEST,2025-12-07,596108.66,32510471.68
WEST,2025-12-08,383182.02,32893653.69
WEST,2025-12-13,306373.80,33200027.49
WEST,2025-12-23,404744.81,33604772.31
WEST,2025-12-29,159545.39,33764317.70
WEST,2026-01-04,84342.01,33848659.71
WEST,2026-01-05,507803.26,34356462.98
WEST,2026-01-08,82352.37,34438815.34
WEST,2026-01-14,112125.24,34550940.58
WEST,2026-01-28,668471.82,35219412.40
WEST,2026-01-31,459055.85,35678468.26
WEST,2026-02-05,271747.68,35950215.93
WEST,2026-02-08,251053.64,36201269.57
WEST,2026-02-12,395465.41,36596734.98
WEST,2026-02-16,331170.57,36927905.55
WEST,2026-02-21,48105.98,36976011.53
WEST,2026-02-23,34539.92,37010551.45
WEST,2026-02-25,109662.02,37120213.47
WEST,2026-03-01,453150.44,37573363.91
WEST,2026-03-05,315643.82,37889007.73
WEST,2026-03-14,219550.75,38108558.48
WEST,2026-03-15,239625.32,38348183.80
WEST,2026-03-17,35511.02,38383694.81
WEST,2026-03-18,741674.07,39125368.89
WEST,2026-03-22,464230.32,39589599.20
WEST,2026-03-31,185203.33,39774802.53
WEST,2026-04-02,323071.95,40097874.48
WEST,2026-04-04,138345.26,40236219.74
WEST,2026-04-10,310158.01,40546377.74
WEST,2026-04-16,17630.55,40564008.29
WEST,2026-04-25,156933.54,40720941.83
WEST,2026-04-27,183326.32,40904268.15
WEST,2026-05-02,208478.44,41112746.58
WEST,2026-05-09,35080.33,41147826.91
WEST,2026-05-11,198719.68,41346546.60
WEST,2026-05-16,74849.23,41421395.82
WEST,2026-05-23,312275.71,41733671.53
WEST,2026-05-26,348603.98,42082275.51
WEST,2026-05-29,67292.67,42149568.18
WEST,2026-05-31,404066.01,42553634.19
WEST,2026-06-07,44270.19,42597904.38
WEST,2026-06-24,12786.10,42610690.48
WEST,2026-06-29,244727.33,42855417.80
WEST,2026-07-14,384250.38,43239668.18
WEST,2026-07-15,-61543.65,43178124.53
