product_a,product_b,times_bought_together
Jacket,"Samsung Galaxy S24",1
"Hp Pavilion",Jacket,1
"Computer Networks","Oneplus 12",1
"Wall Clock","Mixer Grinder",1
Airpods,"Oneplus 12",1
Keyboard,"Laptop Stand",1
"Marvel Comics","Computer Networks",1
"The Alchemist",Batman,1
Kurti,"Operating Systems",1
Dbms,Batman,1
"Usb Hub","Oneplus 12",1
Jeans,Microwave,1
"Flower Vase","Laptop Stand",1
Lamp,"The Alchemist",1
Airpods,Lamp,1
Batman,"Marvel Comics",1
Jeans,"Study Table",1
"Nothing Phone 3",Microwave,1
"Nothing Phone 3","Study Table",1
"Nothing Phone 3",Keyboard,1
"Computer Networks","Nothing Phone 3",1
Jeans,Keyboard,1
Keyboard,"Wall Clock",1
"Lenovo Ideapad",Hoodie,1
"Wall Clock","Pressure Cooker",1
Hoodie,"Dining Table",1
"Kids T-Shirt","Jbl Speaker",1
"Samsung Galaxy S24","Study Table",1
"Usb Hub","Mixer Grinder",1
"Marvel Comics","Mixer Grinder",1
Shirt,Lamp,1
"Marvel Comics","Office Chair",1
Top,"Nothing Phone 3",1
Dbms,Lamp,1
"Men'S T-Shirt","Boat Earbuds",1
Kurti,"Flower Vase",1
Naruto,"Logitech Mouse",1
"The Alchemist",Kurti,1
"Study Table",Airpods,1
Kurti,"Harry Potter",1
"Samsung Galaxy S24",Dress,1
Airpods,"Operating Systems",1
Batman,"Operating Systems",1
"Hp Pavilion","Wall Clock",1
Keyboard,Top,1
"Kids T-Shirt","Logitech Mouse",1
Jacket,"Sony Headphones",1
"Marvel Comics",Naruto,1
Kurti,Shorts,1
"Boat Earbuds","Jbl Speaker",1
Kurti,"Jbl Speaker",1
Jeans,"Jbl Speaker",1
Airpods,"Jbl Speaker",1
Microwave,"Macbook Air",1
Dress,"Macbook Air",1
"Office Chair",Jeans,1
"Study Table",Batman,1
"Boat Earbuds",Keyboard,1
Lamp,Hoodie,1
"The Alchemist","Boat Earbuds",1
"Laptop Stand","Computer Networks",1
Jeans,"Lenovo Ideapad",1
"Flower Vase",Shirt,1
Airpods,Shirt,1
"Kids T-Shirt","The Alchemist",1
"Hp Pavilion","Dining Table",1
"Iphone 15",Top,1
"Laptop Stand","Mixer Grinder",1
"Wall Clock",Hoodie,1
Dress,Jacket,1
"Wall Clock","Boat Earbuds",1
Dress,"Nothing Phone 3",1
Shirt,"Flower Vase",1
"Kids T-Shirt","Flower Vase",1
"Office Chair","Dell Inspiron",1
"Sony Headphones","Mixer Grinder",1
"Men'S T-Shirt","Flower Vase",1
"Mixer Grinder","Boat Earbuds",1
Naruto,"Boat Earbuds",1
"Logitech Mouse","Boat Earbuds",1
"Study Table","Nothing Phone 3",1
Jacket,Shorts,1
"Operating Systems","Operating Systems",1
Dbms,"Dell Inspiron",1
"Samsung Galaxy S24","Hp Pavilion",1
"Wall Clock","Hp Pavilion",1
Keyboard,"Hp Pavilion",1
"Operating Systems",Hoodie,1
"Harry Potter","Macbook Air",1
Kurti,"Samsung Galaxy S24",1
"Computer Networks",Kurti,1
"Nothing Phone 3",Jeans,1
Keyboard,Jeans,1
"Mixer Grinder","Macbook Air",1
"Kids T-Shirt","Macbook Air",1
"Nothing Phone 3","The Alchemist",1
"Oneplus 12","The Alchemist",1
"Computer Networks",Top,1
Microwave,"Laptop Stand",1
Jacket,"Study Table",1
"Jbl Speaker","Samsung Galaxy S24",1
"Lenovo Ideapad","Usb Hub",1
"Mixer Grinder","Men'S T-Shirt",1
"Flower Vase","Macbook Air",1
"Logitech Mouse","Macbook Air",1
"Sony Headphones","Nothing Phone 3",1
"Samsung Galaxy S24","Samsung Galaxy S24",1
Airpods,Hoodie,1
"Computer Networks","Jbl Speaker",1
Shorts,"Dell Inspiron",1
Jeans,Dbms,1
Hoodie,"Wall Clock",1
"Operating Systems",Jeans,1
"Usb Hub","Usb Hub",1
"Marvel Comics","Hp Pavilion",1
"Computer Networks","Hp Pavilion",1
"Jbl Speaker","The Alchemist",1
"Laptop Stand","Operating Systems",1
"Laptop Stand",Airpods,1
"Office Chair","Operating Systems",1
Naruto,Dress,1
"Marvel Comics",Dress,1
"Sony Headphones",Batman,1
Shirt,Jeans,1
"Boat Earbuds",Jeans,1
"The Alchemist",Keyboard,1
"Usb Hub",Keyboard,1
Lamp,"Usb Hub",1
Batman,"Usb Hub",1
"Marvel Comics","Usb Hub",1
"Operating Systems",Kurti,1
"Mixer Grinder",Airpods,1
"Logitech Mouse",Airpods,1
Naruto,Airpods,1
"Harry Potter",Airpods,1
"The Alchemist","Kids T-Shirt",1
"The Alchemist",Naruto,1
Shorts,"Computer Networks",1
"Marvel Comics",Airpods,1
Dbms,Airpods,1
